Mês/Ano;Valor Transferido
fev/13;1.964.147.370,00
jan/13;1.970.843.426,00
abr/13;2.051.462.250,00
jun/13;2.073.512.475,00
mar/13;2.076.786.312,00
mai/13;2.080.949.976,00
mai/14;2.087.755.338,00
jul/13;2.100.575.175,00
ago/13;2.102.688.653,00
set/13;2.108.752.902,00
nov/13;2.109.624.527,00
jan/14;2.110.618.798,00
out/13;2.111.438.334,00
mar/14;2.112.724.614,00
abr/14;2.114.101.718,00
fev/14;2.121.091.032,00
dez/13;2.139.325.691,00
mar/16;2.223.324.571,00
mai/16;2.234.191.747,00
jun/16;2.237.424.572,00
abr/16;2.237.918.660,00
fev/16;2.245.197.494,00
nov/15;2.247.275.686,00
jan/16;2.252.639.821,00
dez/15;2.270.795.927,00
out/15;2.285.199.624,00
set/15;2.288.362.252,00
ago/15;2.295.059.989,00
jun/15;2.301.404.544,00
mai/15;2.306.454.411,00
abr/15;2.308.012.264,00
jul/17;2.311.085.525,00
jul/15;2.311.298.975,00
jan/15;2.342.594.866,00
mar/15;2.344.813.836,00
fev/15;2.349.028.965,00
dez/14;2.367.019.543,00
jun/14;2.367.916.901,00
out/14;2.372.284.427,00
ago/14;2.375.130.456,00
nov/14;2.376.489.442,00
set/14;2.378.558.310,00
jun/17;2.397.698.655,00
mai/17;2.402.987.404,00
jul/14;2.406.363.186,00
set/17;2.410.317.893,00
abr/17;2.416.084.222,00
ago/17;2.425.517.419,00
jan/17;2.426.682.591,00
mar/17;2.428.264.849,00
out/17;2.432.634.543,00
jun/18;2.445.679.196,00
abr/18;2.447.602.356,00
fev/17;2.453.677.326,00
dez/16;2.458.172.701,00
nov/17;2.460.195.048,00
dez/17;2.480.967.459,00
mai/18;2.484.070.551,00
nov/16;2.490.323.125,00
fev/18;2.497.795.507,00
jan/18;2.498.595.600,00
mar/20;2.505.415.999,00
mar/18;2.508.135.248,00
nov/19;2.520.210.959,00
fev/20;2.521.099.871,00
dez/19;2.525.746.007,00
jan/20;2.526.570.558,00
set/16;2.527.269.321,00
ago/16;2.528.917.368,00
jul/16;2.532.511.385,00
out/16;2.538.278.030,00
set/19;2.561.393.842,00
out/19;2.564.193.203,00
jan/19;2.585.866.335,00
set/18;2.593.466.106,00
jul/18;2.594.776.759,00
ago/19;2.608.191.765,00
jul/19;2.609.281.590,00
fev/19;2.609.818.702,00
out/18;2.623.693.236,00
ago/18;2.625.161.695,00
jun/19;2.627.861.441,00
abr/19;2.632.278.536,00
mar/19;2.636.854.154,00
dez/18;2.641.616.078,00
nov/18;2.665.049.287,00
fev/21;2.665.125.714,00
mai/19;2.677.539.162,00
jun/20;2.684.273.056,00
abr/20;2.685.802.435,00
mai/20;2.687.061.795,00
mar/21;2.708.579.689,00
jan/21;2.712.375.600,00
out/21;2.724.133.147,00
abr/21;2.726.005.236,00
set/21;2.728.951.796,00
ago/21;2.729.405.897,00
ago/20;2.730.698.342,00
dez/20;2.730.699.896,00
nov/20;2.731.210.446,00
jun/21;2.731.436.567,00
out/20;2.731.676.029,00
jul/20;2.732.364.850,00
jul/21;2.732.386.422,00
set/20;2.734.644.805,00
mai/21;2.735.941.278,00
abr/23;12.938.491.068,00
mai/23;13.098.360.456,00
mar/23;13.159.279.787,00
jul/23;13.277.278.127,00
jun/24;13.293.759.996,00
mai/24;13.339.378.312,00
ago/23;13.348.724.710,00
mar/24;13.373.651.126,00
abr/24;13.377.084.379,00
nov/23;13.511.015.351,00
dez/23;13.673.682.155,00
set/23;13.707.854.107,00
jan/24;13.725.109.346,00
out/23;13.763.221.732,00
fev/24;13.800.467.937,00
jun/23;14.115.738.127,00
